Time,Vision_Dist,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766072802.5903358,0.9200,0.8890,0.0310,67.8600,67.5248,0.3352,CAR ,2,6,2.24,0.079
1766072802.5904074,1.6200,0.7704,0.8496,59.3100,50.6780,8.6320,BALL,6,6,75.39,0.000
1766072802.6397574,0.9200,0.8871,0.0329,68.1500,67.9312,0.2188,CAR ,2,6,2.22,0.067
1766072802.6398618,1.5700,0.7694,0.8006,59.3900,51.0237,8.3663,BALL,6,6,75.41,0.000
1766072802.6917415,0.9100,0.8848,0.0252,68.6600,68.3236,0.3364,CAR ,2,6,2.24,0.079
1766072802.691854,1.4700,0.7681,0.7019,59.5800,51.3446,8.2354,BALL,6,6,75.38,0.000
1766072802.7417083,0.9300,0.8823,0.0477,69.2200,68.5397,0.6803,CAR ,2,6,2.22,0.071
1766072802.7417755,1.4200,0.7666,0.6534,59.7200,51.4908,8.2292,BALL,6,6,75.36,0.000
1766072802.7918591,0.9300,0.8802,0.0498,69.7000,68.7027,0.9973,CAR ,2,6,2.25,0.070
1766072802.7919307,1.3800,0.7653,0.6147,59.8600,51.5880,8.2720,BALL,6,6,75.39,0.000
1766072802.8414156,0.9400,0.8789,0.0611,70.0100,68.6731,1.3369,CAR ,2,6,2.23,0.058
1766072802.8415053,1.3100,0.7649,0.5451,59.9800,51.5156,8.4644,BALL,6,6,75.39,0.000
1766072802.8914688,0.9300,0.8771,0.0529,69.9600,68.4501,1.5099,CAR ,2,6,2.24,0.065
1766072802.8915303,1.3200,0.7639,0.5561,59.9600,51.2350,8.7250,BALL,6,6,75.40,0.000
1766072802.9419613,0.9300,0.8754,0.0546,69.9300,68.4799,1.4501,CAR ,2,6,2.23,0.055
