Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID
1766065950.6667576,0.4900,-1.0000,0.4900,0.3150,0.1750,21.0600,25.4295,-4.3695,BALL,6,4
1766065950.7583537,0.2100,0.2100,0.9700,0.5012,-0.2912,63.1600,52.3961,10.7639,CAR ,2,6
1766065950.846077,0.4800,-1.0000,0.4800,0.3093,0.1707,20.7200,25.0813,-4.3613,BALL,6,4
1766065950.896928,0.4800,-1.0000,0.4800,0.3074,0.1726,20.7400,25.1769,-4.4369,BALL,6,4
1766065950.9531474,0.4800,-1.0000,0.4800,0.3057,0.1743,20.7600,25.3479,-4.5879,BALL,6,4
1766065951.0291886,0.2100,0.2100,0.9500,0.4944,-0.2844,63.5300,53.6532,9.8768,CAR ,2,6
1766065951.0813525,0.2100,0.2100,0.9500,0.4932,-0.2832,63.5700,54.0186,9.5514,CAR ,2,6
1766065951.1341867,0.2100,0.2100,0.9300,0.4919,-0.2819,63.8300,54.0730,9.7570,CAR ,2,6
1766065951.1937585,0.4900,-1.0000,0.4900,0.3002,0.1898,20.9800,25.7843,-4.8043,BALL,6,4
1766065951.2448163,0.4800,-1.0000,0.4800,0.2990,0.1810,20.8900,25.5432,-4.6532,BALL,6,4
1766065951.3011594,0.4800,-1.0000,0.4800,0.2972,0.1828,20.7800,25.3114,-4.5314,BALL,6,4
1766065951.3868198,0.2100,0.2100,0.9100,0.4859,-0.2759,63.7400,53.6924,10.0476,CAR ,2,6
1766065951.448937,0.2100,0.2100,0.9100,0.4843,-0.2743,63.7900,54.0269,9.7631,CAR ,2,6
1766065951.4992025,0.2100,0.2100,0.9100,0.4830,-0.2730,63.8700,54.1346,9.7354,CAR ,2,6
1766065951.5550287,0.2100,0.2100,0.8900,0.4816,-0.2716,64.0000,54.3300,9.6700,CAR ,2,6
1766065951.6106033,0.2100,0.2100,0.8900,0.4802,-0.2702,64.0700,54.6273,9.4427,CAR ,2,6
